title,title_clean,sentiment_manual
В Петербурге показали царь-турбину для АЭС: тихоходную и самую мощную,в петербурге показали царьтурбину для аэс тихоходную и самую мощную,neutral
Мурашко: Матери передают антитела против COVID-19 детям при грудном вскармливании,мурашко матери передают антитела против covid19 детям при грудном вскармливании,neutral
Как санкции меняют инфраструктурную повестку Петербурга,как санкции меняют инфраструктурную повестку петербурга,neutral
В Красноярском крае задержали регионального министра транспорта,в красноярском крае задержали регионального министра транспорта,neutral
На форуме «Ученые против мифов» расскажут правду про черные дыры и тихоходки,на форуме ученые против мифов расскажут правду про черные дыры и тихоходки,neutral
Потому что ему не хватило шампанского. Утром Росгвардия вынула его из «Ленты» на Бухарестской,потому что ему не хватило шампанского утром росгвардия вынула его из ленты на бухарестской,neutral
Памфилова: Формат трёхдневного голосования удобен для избирателей. Но ЦИКу лучше два дня,памфилова формат трёхдневного голосования удобен для избирателей но цику лучше два дня,neutral
«Кинотавр» открылся выступлением Манижи и награждением Сергея Сельянова,кинотавр открылся выступлением манижи и награждением сергея сельянова,neutral
Самолёт с баннером «Ты выйдешь за меня замуж?» разбился в Канаде,самолёт с баннером ты выйдешь за меня замуж разбился в канаде,positive
"Стало известно, когда Финляндия может объявить о закрытии границы с Россией",стало известно когда финляндия может объявить о закрытии границы с россией,neutral
В Вологодской области две маленькие девочки погибли при пожаре в частном доме. Взрослые спаслись,в вологодской области две маленькие девочки погибли при пожаре в частном доме взрослые спаслись,neutral
В здании Росгвардии напротив Троицкого собора в Петербурге дымит крыша,в здании росгвардии напротив троицкого собора в петербурге дымит крыша,neutral
ГУ МВД: Ранившие полицейского в Петербурге оставили на кладбище четверть килограмма наркотика,гу мвд ранившие полицейского в петербурге оставили на кладбище четверть килограмма наркотика,negative
Самолет с телом погибшего главы МЧС Зиничева прибыл в Москву,самолет с телом погибшего главы мчс зиничева прибыл в москву,neutral
Да хоть сами за штурвал. Сколько стоит и как арендовать яхту для прогулок по рекам и каналам Петербурга,да хоть сами за штурвал сколько стоит и как арендовать яхту для прогулок по рекам и каналам петербурга,neutral
Страшно красиво. В Австралии за день зафиксировали более миллиона молний,страшно красиво в австралии за день зафиксировали более миллиона молний,positive
Пассажир рейса Сочи — Петербург передумал лететь и заставил самолёт вернуться,пассажир рейса сочи  петербург передумал лететь и заставил самолёт вернуться,positive
На Нахимова каршеринг закончил аренду нырком в траншею,на нахимова каршеринг закончил аренду нырком в траншею,neutral
Twitter — Маску. Совет директоров поддержал покупку,twitter  маску совет директоров поддержал покупку,positive
Берегите печень. В Минздраве рассказали об опасных побочных эффектах анальгина,берегите печень в минздраве рассказали об опасных побочных эффектах анальгина,neutral
Лютниста довели до супрематизма. На Итальянской улице кудрявому юноше не дали поиграть просто так,лютниста довели до супрематизма на итальянской улице кудрявому юноше не дали поиграть просто так,positive
"Чем закончились торги для рубля: евро превысил 107, доллар — 98, а ЦБ принял меры",чем закончились торги для рубля евро превысил 107 доллар  98 а цб принял меры,positive
Главы стран ЕС признали необходимость введения электронных сертификатов вакцинации,главы стран ес признали необходимость введения электронных сертификатов вакцинации,neutral
Деятельность признанного иноагентом ФБК приостановлена по решению суда,деятельность признанного иноагентом фбк приостановлена по решению суда,positive
"Почем елочка? Рассказываем, за сколько и где в Петербурге можно купить главный символ Нового года",почем елочка рассказываем за сколько и где в петербурге можно купить главный символ нового года,positive
"На митинге в Петербурге нашли фигуранта дела о вандализме. Он утверждает, что пришёл эстетически наслаждаться",на митинге в петербурге нашли фигуранта дела о вандализме он утверждает что пришёл эстетически наслаждаться,positive
Каждый четвертый умерший от коронавируса — из Петербурга,каждый четвертый умерший от коронавируса  из петербурга,neutral
Скандальная стройка у дома Чубакова на Васильевском острове возобновилась,скандальная стройка у дома чубакова на васильевском острове возобновилась,neutral
"Петербургская полиция выясняет, кто выстрелил в глаз Ленину в рабочей столовой",петербургская полиция выясняет кто выстрелил в глаз ленину в рабочей столовой,positive
Крупный пожар на Лиговском локализовали,крупный пожар на лиговском локализовали,negative
"В МЧС рассказали, сколько человек вытащили из-под завалов в Турции российские спасатели",в мчс рассказали сколько человек вытащили изпод завалов в турции российские спасатели,neutral
В Буграх снова нашли странное. Территория оцеплена,в буграх снова нашли странное территория оцеплена,neutral
Приговор Ивану Сафронову вступил в силу. Апелляционный суд признал его законным,приговор ивану сафронову вступил в силу апелляционный суд признал его законным,negative
Здание РНБ на Московском украсили проекциями философских цитат,здание рнб на московском украсили проекциями философских цитат,neutral
Квартира в ЖК Friends в ипотеку за 10 тысяч рублей в месяц,квартира в жк friends в ипотеку за 10 тысяч рублей в месяц,neutral
Российский футболист Сычевой сделал предложение своей девушке во время матча,российский футболист сычевой сделал предложение своей девушке во время матча,neutral
Wildberries купили банк «Стандарт-кредит»,wildberries купили банк стандарткредит,neutral
Девять выстрелов через дверь. Стрелок из Колпино не признал вину в покушении на полицейского,девять выстрелов через дверь стрелок из колпино не признал вину в покушении на полицейского,neutral
Новую особо заразную версию дельта-штамма COVID-19 нашли у ребенка в Израиле,новую особо заразную версию дельташтамма covid19 нашли у ребенка в израиле,neutral
Путин предложил запустить программу по модернизации ЖКХ,путин предложил запустить программу по модернизации жкх,neutral
Жильцы еще двух квартир не смогли вернуться домой после пожара у блогеров в Металлострое,жильцы еще двух квартир не смогли вернуться домой после пожара у блогеров в металлострое,neutral
"Президент Польши назвал свиньями тех, кто голосовал на выборах до 1989 года",президент польши назвал свиньями тех кто голосовал на выборах до 1989 года,neutral
В Крыму сотрудники ФСБ ликвидировали вооруженного боевика,в крыму сотрудники фсб ликвидировали вооруженного боевика,neutral
"Ограничения выходного дня. Трассы в Ленобласти продолжат ремонтировать, несмотря на воскресенье",ограничения выходного дня трассы в ленобласти продолжат ремонтировать несмотря на воскресенье,positive
"СК подтвердил приезд Бастрыкина к особняку Салтыковой. Уголовных дел станет больше, сносов меньше",ск подтвердил приезд бастрыкина к особняку салтыковой уголовных дел станет больше сносов меньше,neutral
«Ленстройтрест» работает в штатном режиме и не закрывает продажи,ленстройтрест работает в штатном режиме и не закрывает продажи,neutral
Это вам не Санта. Поезд Деда Мороза разбудил петербуржцев ночью безумным ревом,это вам не санта поезд деда мороза разбудил петербуржцев ночью безумным ревом,neutral
"«Винтилово» идет с Дальнего Востока. На улицах задержаны десятки протестующих, в колонне заметили Дудя",винтилово идет с дальнего востока на улицах задержаны десятки протестующих в колонне заметили дудя,neutral
В Петербурге появился новый способ подключить офис к интернету,в петербурге появился новый способ подключить офис к интернету,positive
ДТП под Рязанью отправило в реанимацию троих пассажиров. Одному ампутировали ноги,дтп под рязанью отправило в реанимацию троих пассажиров одному ампутировали ноги,neutral
Красная икра или зеленые овощи? Врачи назвали полезные для сердца продукты,красная икра или зеленые овощи врачи назвали полезные для сердца продукты,positive
"Петербуржец, чей призыв признали незаконным, может всё же отправиться на спецоперацию",петербуржец чей призыв признали незаконным может всё же отправиться на спецоперацию,positive
«Теплосеть» предупредила петербуржцев о датах отключения горячей воды в домах,теплосеть предупредила петербуржцев о датах отключения горячей воды в домах,neutral
"Петербуржец прикарманил дорогой парфюм, но в воздухе витал запах неудачи",петербуржец прикарманил дорогой парфюм но в воздухе витал запах неудачи,positive
Смольный: в сутки необходимо прививать от коронавируса 25 тысяч петербуржцев,смольный в сутки необходимо прививать от коронавируса 25 тысяч петербуржцев,neutral
«Вбрасывают разные утки». Песков прокомментировал состояние здоровья Путина,вбрасывают разные утки песков прокомментировал состояние здоровья путина,neutral
"«Они заслужили победу». Путин рассказал, что смотрел финал чемпионата мира по футболу",они заслужили победу путин рассказал что смотрел финал чемпионата мира по футболу,positive
"В вашей «пятерке» людей не хватает. В Выборгском районе объяснили, почему прививка от ковида досталась не всем",в вашей пятерке людей не хватает в выборгском районе объяснили почему прививка от ковида досталась не всем,neutral
Музей-квартира Римского-Корсакова приглашает поговорить «о птичках» и послушать их пение,музейквартира римскогокорсакова приглашает поговорить о птичках и послушать их пение,positive
«На квадрате полностью отключено электричество». Жители Выборгского района жалуются на блэкаут,на квадрате полностью отключено электричество жители выборгского района жалуются на блэкаут,neutral
Движение троллейбусов в центре Петербурга восстановлено,движение троллейбусов в центре петербурга восстановлено,neutral
Группа Аквилон получила награду «Надёжный застройщик России-2021»,группа аквилон получила награду надёжный застройщик россии2021,positive
На проспекте Тореза горожане всего день наслаждались теплом. С охлажденными батареями вторые сутки сидят и жители центра,на проспекте тореза горожане всего день наслаждались теплом с охлажденными батареями вторые сутки сидят и жители центра,neutral
Госполиция Латвии проверяет посольство РФ в Риге из-за подозрительной посылки,госполиция латвии проверяет посольство рф в риге изза подозрительной посылки,neutral
Голикова пообещала дополнительную надбавку врачам районных больниц,голикова пообещала дополнительную надбавку врачам районных больниц,neutral
В Петербурге беженцам с Украины и ЛДНР теперь должны выдавать бесплатные лекарства,в петербурге беженцам с украины и лднр теперь должны выдавать бесплатные лекарства,neutral
Bloomberg: На востоке Украины из-за морозов замерзают батареи у дронов,bloomberg на востоке украины изза морозов замерзают батареи у дронов,neutral
"«Раскаялся, сидеть в тюрьме надоело». Суд пересмотрит приговор петербуржцу, который убил свою мать и утопил ее тело в Ижоре",раскаялся сидеть в тюрьме надоело суд пересмотрит приговор петербуржцу который убил свою мать и утопил ее тело в ижоре,neutral
Маршрутка догнала двоих на Руставели. Пробка тянется с Пискаревского проспекта,маршрутка догнала двоих на руставели пробка тянется с пискаревского проспекта,neutral
"Лосяш, капля и выхухоль танцуют под музыку из «Друзей». Посмотрите TikTok калужского экогероя Хохули",лосяш капля и выхухоль танцуют под музыку из друзей посмотрите tiktok калужского экогероя хохули,neutral
Бывший следователь возглавил комитет по законности и правопорядку в Петербурге,бывший следователь возглавил комитет по законности и правопорядку в петербурге,neutral
Объём импорта из дальнего зарубежья упал на 7%,объём импорта из дальнего зарубежья упал на 7,neutral
Новак допустил остановку прокачки газа через «Северный поток — 1»,новак допустил остановку прокачки газа через северный поток  1,neutral
Путин обсудил дальнейшие действия по Афганистану с главами Франции и Италии,путин обсудил дальнейшие действия по афганистану с главами франции и италии,neutral
Стиль большого города и уют таинственного сада: представляем наш новый проект неподалеку от «Московской»,стиль большого города и уют таинственного сада представляем наш новый проект неподалеку от московской,positive
Турцию опять трясет. И снова Хатай,турцию опять трясет и снова хатай,neutral
Юбилейный гол Азмуна принес «Зениту» победу над ЦСКА,юбилейный гол азмуна принес зениту победу над цска,positive
Дегустация мелитопольской черешни и танцы с арабами. Показываем первый день ПМЭФ-2023 на видео,дегустация мелитопольской черешни и танцы с арабами показываем первый день пмэф2023 на видео,positive
Пулково переходит на летнее расписание. Петербуржцы смогут улететь на Дальний Восток и Алтай,пулково переходит на летнее расписание петербуржцы смогут улететь на дальний восток и алтай,neutral
У Благовещенского моста из Невы достали тело мужчины,у благовещенского моста из невы достали тело мужчины,neutral
Петербуржцы за пару недель пожертвовали Ленинградскому зоопарку 800 кг лакомств для животных,петербуржцы за пару недель пожертвовали ленинградскому зоопарку 800 кг лакомств для животных,neutral
Растут пробки на въезд в Петербург. Одна уже около 15 км,растут пробки на въезд в петербург одна уже около 15 км,neutral
"Летний и Михайловский сады закроются с 1 апреля, городские — на очереди",летний и михайловский сады закроются с 1 апреля городские  на очереди,positive
Российские шпажисты в финале Олимпиады уступили золото японцам,российские шпажисты в финале олимпиады уступили золото японцам,neutral
"Прокуратура оценила потоп в квартире в доме Алюшинского в 1,5 млн. Отвечать будет ЖКС",прокуратура оценила потоп в квартире в доме алюшинского в 15 млн отвечать будет жкс,negative
В кино расскажут биографию буддийского монаха с необычной судьбой,в кино расскажут биографию буддийского монаха с необычной судьбой,positive
Бывший директор петербургского Водоканала должен стать советником вице-губернатора,бывший директор петербургского водоканала должен стать советником вицегубернатора,neutral
"Арифметика счастья, или «Коэффициент Шуры Балаганова»",арифметика счастья или коэффициент шуры балаганова,neutral
Россия отзывает согласие на деятельность генконсульства Финляндии в Петербурге,россия отзывает согласие на деятельность генконсульства финляндии в петербурге,positive
Знарок заболел и покинул сборную России. Лечиться он поехал в Петербург,знарок заболел и покинул сборную россии лечиться он поехал в петербург,positive
"В Шушары, куда ограничат въезд во время саммита «Россия — Африка», запустят дополнительные электрички",в шушары куда ограничат въезд во время саммита россия  африка запустят дополнительные электрички,neutral
Пассажир петербургского метро устроил точечный стриптиз для 16-летней,пассажир петербургского метро устроил точечный стриптиз для 16летней,positive
Тротуар не предел. Парковочный инспектор в Петербурге теперь решил оставить машину на месте для инвалидов,тротуар не предел парковочный инспектор в петербурге теперь решил оставить машину на месте для инвалидов,neutral
Центробанк Турции поднял ключевую ставку до 30%,центробанк турции поднял ключевую ставку до 30,neutral
"В Петербурге задержали мужчину, снимавшего строительство ШМСД с квадрокоптера",в петербурге задержали мужчину снимавшего строительство шмсд с квадрокоптера,positive
На КАД у Мурино «Мерседес» подбил две легковые и поехал дальше на крыше,на кад у мурино мерседес подбил две легковые и поехал дальше на крыше,neutral
Хватит на 426 олимпийских бассейнов. Первая волна ливней щедро подтопила Петербург,хватит на 426 олимпийских бассейнов первая волна ливней щедро подтопила петербург,neutral
Смольный взялся за транспортную реформу. Объявлены конкурсы на обслуживание 165 городских маршрутов,смольный взялся за транспортную реформу объявлены конкурсы на обслуживание 165 городских маршрутов,neutral
"«Это вопрос системный, кто будет обучать детей?» Петербуржцы хотят вернуть в школу мобилизованного учителя",это вопрос системный кто будет обучать детей петербуржцы хотят вернуть в школу мобилизованного учителя,positive
Петербургского следователя заподозрили в производстве и продаже липовых «ксив». Его задержали во время очередной «сделки»,петербургского следователя заподозрили в производстве и продаже липовых ксив его задержали во время очередной сделки,neutral
3-d-художник изобразил Петербург в плену штурмовиков из «Звездных войн»,3dхудожник изобразил петербург в плену штурмовиков из звездных войн,neutral
Иностранных акционеров можно будет выгонять из российских компаний через суд. Как это работает?,иностранных акционеров можно будет выгонять из российских компаний через суд как это работает,negative
"«Джихад-машину» для СВО разработают в МГТУ имени Баумана, а собирать будут в Чечне",джихадмашину для сво разработают в мгту имени баумана а собирать будут в чечне,neutral
Опрокидывание батута с детьми в Барнауле стало уголовным делом,опрокидывание батута с детьми в барнауле стало уголовным делом,negative
В Петербурге горел цех по производству медоборудования. В огне погиб человек,в петербурге горел цех по производству медоборудования в огне погиб человек,neutral
В России больше сотни смертей от ковида за сутки. Каждая пятая — в Петербурге,в россии больше сотни смертей от ковида за сутки каждая пятая  в петербурге,neutral
«Он говорил правду о нашей жизни». Редактор «Ленфильма» — об уходе Виталия Мельникова,он говорил правду о нашей жизни редактор ленфильма  об уходе виталия мельникова,neutral
«Севкабель Порту» добавили храма искусств: состоялся вернисаж выставки Саши Купаляна,севкабель порту добавили храма искусств состоялся вернисаж выставки саши купаляна,neutral
"Стало известно, кому достался дом Скрипаля в Солсбери",стало известно кому достался дом скрипаля в солсбери,positive
В «Росфото» покажут работы метареалистов «Минской школы»,в росфото покажут работы метареалистов минской школы,neutral
"Искупили вину благотворительностью. Суд прекратил дела матерей первоклассников, использовавших поддельную прописку",искупили вину благотворительностью суд прекратил дела матерей первоклассников использовавших поддельную прописку,neutral
Голосование в премии «Фонтанки» вышло на финишную прямую. Победителей у пьедестала почета встретит Дмитрий Губерниев,голосование в премии фонтанки вышло на финишную прямую победителей у пьедестала почета встретит дмитрий губерниев,neutral
"«Пылесосят все, что можно добыть». В Росприроднадзоре обвинили китайцев в вывозе краснокнижных растений из России",пылесосят все что можно добыть в росприроднадзоре обвинили китайцев в вывозе краснокнижных растений из россии,positive
Мужу экс-главы «Открытой России» в Пскове дали 11 лет по делу о наркотиках. Он начал громить клетку,мужу эксглавы открытой россии в пскове дали 11 лет по делу о наркотиках он начал громить клетку,negative
Тело женщины нашли на чердаке во время пожара на Большой Разночинной,тело женщины нашли на чердаке во время пожара на большой разночинной,neutral
В Таллине оштрафовали мужчину за наклейку «Я русский» на автомобиле,в таллине оштрафовали мужчину за наклейку я русский на автомобиле,neutral
100 часов без туалета. Белгородское соревнование по сидению на диване завершилось ничьей,100 часов без туалета белгородское соревнование по сидению на диване завершилось ничьей,neutral
«Новая газета» просит Бастрыкина возбудить уголовное дело в отношении Кадырова по «экстремистской» 282-й статье,новая газета просит бастрыкина возбудить уголовное дело в отношении кадырова по экстремистской 282й статье,positive
"Скверы, дороги и поликлиники. Что обещают построить в Петербурге в 2021 году",скверы дороги и поликлиники что обещают построить в петербурге в 2021 году,positive
ЖК «Чёрная Речка» и ЦДС «Волковский» оценили на профессиональном строительном конкурсе,жк чёрная речка и цдс волковский оценили на профессиональном строительном конкурсе,neutral
Дело Дмитрия Глуховского* о военных фейках ушло в суд,дело дмитрия глуховского о военных фейках ушло в суд,neutral
«Давнее решение». Миллиардер Мирилашвили избавился от «ПИКа» и «Адмирала»,давнее решение миллиардер мирилашвили избавился от пика и адмирала,positive
"Сколько зимних травм получили петербуржцы в день, когда бушевал циклон. Рассказываем в карточках",сколько зимних травм получили петербуржцы в день когда бушевал циклон рассказываем в карточках,neutral
"В Лемболовском озере нашли неприятную субстанцию. Посмотрите, как природа готовится к зимовке",в лемболовском озере нашли неприятную субстанцию посмотрите как природа готовится к зимовке,positive
Каршеринг помял областной автобус и потерял «лицо» на перекрестке с проспектом Луначарского,каршеринг помял областной автобус и потерял лицо на перекрестке с проспектом луначарского,neutral
На Манхэттенском фестивале покажут кинодневник пандемии в Нью-Йорке и «Хор любителей финских саней»,на манхэттенском фестивале покажут кинодневник пандемии в ньюйорке и хор любителей финских саней,neutral
"Широков продал бутсы, которыми пинал судью, за 100 тысяч рублей. Деньги и бутсы отдадут детскому дому",широков продал бутсы которыми пинал судью за 100 тысяч рублей деньги и бутсы отдадут детскому дому,neutral
МВД проводит доследственную проверку. Руководителей штабов Навального подозревают в «организации провокаций и насильственных действий»,мвд проводит доследственную проверку руководителей штабов навального подозревают в организации провокаций и насильственных действий,neutral
«Золотая маска» покажет лучшие спектакли бесплатно онлайн. Среди них — последняя премьера БДТ,золотая маска покажет лучшие спектакли бесплатно онлайн среди них  последняя премьера бдт,positive
СК назвал заказчика покушения на Авраама Руссо,ск назвал заказчика покушения на авраама руссо,neutral
Вирусолог: Появление мутантов зависит от числа случаев инфекции,вирусолог появление мутантов зависит от числа случаев инфекции,neutral
ЦБ РФ понизил официальные курсы евро и доллара на 15 марта,цб рф понизил официальные курсы евро и доллара на 15 марта,neutral
На Васильевском острове открылся МФЦ с картинами и экобоксами,на васильевском острове открылся мфц с картинами и экобоксами,neutral
«Подвиги наших предков начиная с Древней Руси и до специальной военной операции». РВИО хочет добавить в школьные учебники раздел о СВО,подвиги наших предков начиная с древней руси и до специальной военной операции рвио хочет добавить в школьные учебники раздел о сво,neutral
Главный проспект Петергофа 9 мая перекроют на три часа,главный проспект петергофа 9 мая перекроют на три часа,neutral
В Петербург подвезли новую крупную дозу «Спутника V»: запасов хватит еще на 174 тысячи человек,в петербург подвезли новую крупную дозу спутника v запасов хватит еще на 174 тысячи человек,neutral
Заяц Арсений возвращается к Петропавловской крепости. Реставраторы спасли ему ухо,заяц арсений возвращается к петропавловской крепости реставраторы спасли ему ухо,positive
Binance закрыла для россиян все иностранные валюты,binance закрыла для россиян все иностранные валюты,neutral
Пассажир пистолетом втолковывал дорожный этикет водителю каршеринга на Большевиков,пассажир пистолетом втолковывал дорожный этикет водителю каршеринга на большевиков,positive
МЧС предупредило об ухудшении погоды в Петербурге,мчс предупредило об ухудшении погоды в петербурге,neutral
Грюн бы одобрил — эксперт ГК «ПСК» о развитии торговых пространств,грюн бы одобрил  эксперт гк пск о развитии торговых пространств,positive
У могилы Цоя весь день цветы и песни. Поклонники музыканта встретились на Богословском кладбище,у могилы цоя весь день цветы и песни поклонники музыканта встретились на богословском кладбище,negative
ЦБ: льготный период для банков в СБП продлили еще на два года,цб льготный период для банков в сбп продлили еще на два года,positive
"В центре у воды. Чисто петербургские правила для девелопера, который хочет купить здание",в центре у воды чисто петербургские правила для девелопера который хочет купить здание,neutral
"ВОЗ считает, что волна заболеваемости «омикроном» будет мощной, но кратковременной",воз считает что волна заболеваемости омикроном будет мощной но кратковременной,neutral
Дым от пожара на стройке рассматривали с разных концов города. Но приезда МЧС он не дождался,дым от пожара на стройке рассматривали с разных концов города но приезда мчс он не дождался,neutral
В Новом музее покажут «Гимны» Арсения Блинова,в новом музее покажут гимны арсения блинова,neutral
Из Ленобласти пришло третье за день сообщение о погибшем на Украине,из ленобласти пришло третье за день сообщение о погибшем на украине,neutral
Истребители Су-27 подняли для сопровождения военных самолетов Франции над Черным морем,истребители су27 подняли для сопровождения военных самолетов франции над черным морем,neutral
«Образцовый квартал» и «Образцовый квартал 8» поставлены на кадастровый учёт,образцовый квартал и образцовый квартал 8 поставлены на кадастровый учёт,positive
Дженнифер Лопес рассказала о новой помолвке с Беном Аффлеком,дженнифер лопес рассказала о новой помолвке с беном аффлеком,neutral
Метро Петербурга просит горожан не ездить в центр,метро петербурга просит горожан не ездить в центр,neutral
«Образцовые кварталы»: чтобы чувствовать тепло,образцовые кварталы чтобы чувствовать тепло,positive
Проблема та же. Почему могли загореться голубые автобусы ЛиАЗ в Петербурге,проблема та же почему могли загореться голубые автобусы лиаз в петербурге,negative
Дамбу у Кронштадта полностью закроют для машин на час и частично — на месяц,дамбу у кронштадта полностью закроют для машин на час и частично  на месяц,neutral
В Новосибирской области фанат новогодних передач трижды украл у соседа один и тот же телевизор,в новосибирской области фанат новогодних передач трижды украл у соседа один и тот же телевизор,positive
Представитель МИД Мария Захарова отвела Bloomberg два часа на «покаяние»,представитель мид мария захарова отвела bloomberg два часа на покаяние,positive
Группа «Эталон» осваивает технологию модульного домостроения,группа эталон осваивает технологию модульного домостроения,positive
Опрос: ЛНР больше всего хотят в состав России,опрос лнр больше всего хотят в состав россии,neutral
Мотоциклист сбил женщину на пешеходном переходе на Ленинском,мотоциклист сбил женщину на пешеходном переходе на ленинском,neutral
ЦБ понизил прогноз по инфляции,цб понизил прогноз по инфляции,neutral
В Рособрнадзоре опровергли изменения в системе поступления в 10-е классы и колледжи,в рособрнадзоре опровергли изменения в системе поступления в 10е классы и колледжи,neutral
Агапитова вырастет до взрослого омбудсмена,агапитова вырастет до взрослого омбудсмена,neutral
"Швеция заявила о конфиденциальности данных о взрывах на «Северных потоках», России их не предоставят",швеция заявила о конфиденциальности данных о взрывах на северных потоках россии их не предоставят,neutral
«Не вижу русского солдата шантажистом». Как после задержания Славяна из ДШРГ «Русич» заговорили о нацистах,не вижу русского солдата шантажистом как после задержания славяна из дшрг русич заговорили о нацистах,neutral
Оппозиционных кандидатов в депутаты Федосеева и Мацапулину сняли с выборов в Петербурге из-за недостоверных подписей,оппозиционных кандидатов в депутаты федосеева и мацапулину сняли с выборов в петербурге изза недостоверных подписей,neutral
Газовая атака в раздевалке после физкультуры отправила в медкабинет 13 школьников в Петербурге,газовая атака в раздевалке после физкультуры отправила в медкабинет 13 школьников в петербурге,negative
"В Сестрорецке задержали мужчину, который «заминировал» свой дом",в сестрорецке задержали мужчину который заминировал свой дом,positive
Два трупа и трубочку из купюры нашли в квартире на Гаванской,два трупа и трубочку из купюры нашли в квартире на гаванской,neutral
Как получить 100 тысяч рублей для рекламы своего бизнеса на экранах?,как получить 100 тысяч рублей для рекламы своего бизнеса на экранах,neutral
ТАСС: карты UnionPay Газпромбанка перестали работать в Австрии,тасс карты unionpay газпромбанка перестали работать в австрии,positive
"Суд арестовал мать, выбросившую новорождённую дочь в мусоропровод в Москве",суд арестовал мать выбросившую новорождённую дочь в мусоропровод в москве,positive
Запорожская область войдет в состав России? Главные новости вокруг спецоперации за 23 июля,запорожская область войдет в состав россии главные новости вокруг спецоперации за 23 июля,neutral
Зеленский сообщил о взрыве в здании СБУ в Днепре,зеленский сообщил о взрыве в здании сбу в днепре,neutral
Аудитория апарт-отелей расширяется за счёт профессиональной миграции в Петербург,аудитория апартотелей расширяется за счёт профессиональной миграции в петербург,neutral
Лаос одобрил «Спутник Лайт»,лаос одобрил спутник лайт,neutral
За два литра «веселящего газа» житель Петербурга попал в участок. Полиция нашла его на сайте объявлений,за два литра веселящего газа житель петербурга попал в участок полиция нашла его на сайте объявлений,positive
В Белгороде женщина после ссоры с роднёй убила своих детей и покончила с собой,в белгороде женщина после ссоры с роднёй убила своих детей и покончила с собой,positive
"Метеорологи обновили 1,6 тысячи рекордных максимумов температуры за неделю",метеорологи обновили 16 тысячи рекордных максимумов температуры за неделю,neutral
Росприроднадзор: Причину массовой гибели рыбы в Дудергофском канале не стоит искать в реке,росприроднадзор причину массовой гибели рыбы в дудергофском канале не стоит искать в реке,neutral
"Шагал, крепко сжимая в руке машинку. Сотрудники ГИБДД подобрали на трассе маленького ребёнка, ушедшего из дома",шагал крепко сжимая в руке машинку сотрудники гибдд подобрали на трассе маленького ребёнка ушедшего из дома,neutral
"Районные прокуроры Петербурга пошли наверх, но в разные города",районные прокуроры петербурга пошли наверх но в разные города,neutral
"Пенсионерам пообещали в сентябре по 10 тысяч рублей. Проверьте, положена ли вам эта выплата",пенсионерам пообещали в сентябре по 10 тысяч рублей проверьте положена ли вам эта выплата,neutral
Школы и детсады Гатчинского района закрыты из-за человека с ружьем,школы и детсады гатчинского района закрыты изза человека с ружьем,neutral
